"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"175","225242_s_at","FNDC1","202952_s_at","FGF7P2","213293_s_at","TMEFF1","204416_x_at","COL5A2","212998_x_at","AIF1","200862_at","DAPP1"
"176","224002_s_at","BCHE","224560_at","ANKRD50","204174_at","TGFBI","226136_at","ACTA2","241869_at","CHD7","210538_s_at","PURG"
"177","205991_s_at","VCAN","228964_at","EBF1","226142_at","KRT23","224356_x_at","SULF1","206584_at","RARRES3","241869_at","HLA-DRB3"
"178","209335_at","SRPX","202202_s_at","CILP2","209335_at","PTGDS","227235_at","TFEC","229383_at","TMSB15B","202196_s_at","NRG1"
"179","243864_at","RGS16","206227_at","APBB1IP","219892_at","AIF1","236295_s_at","HOPX","204858_s_at","ZNF711","202748_at","CUX2"
"180","227705_at","TPM1","202998_s_at","GRK5","225171_at","RARRES3","204103_at","SLA","235175_at","FBN2","208829_at","ATP11A"
"181","232914_s_at","SERPINF1","223278_at","KIAA1199","209621_s_at","TMSB15B","208981_at","VSIG4","205419_at","SV2C","202016_at","BASP1"
"182","202007_at","SFRP1","213247_at","GLIS3","211795_s_at","ZNF711","209685_s_at","F13A1","216920_s_at","MUM1L1","228407_at","CDH18"
"183","205525_at","AEBP1","202007_at","NTM","238668_at","CLIC3","223280_x_at","HEPH","207375_s_at","TCEAL2","232360_at","GABRE"
"184","205226_at","HOXB3","208790_s_at","KIAA1949","224356_x_at","SETD7","210757_x_at","GBP1","210972_x_at","SPOCK1","232361_s_at","CLU"
"185","204604_at","FBN1","233690_at","TLR7","204464_s_at","FBN2","210139_s_at","SIGLEC1","209670_at","FTH1","209198_s_at","PRTG"
"186","201109_s_at","EDIL3","222379_at","JAM3","220918_at","MUM1L1","231776_at","GBP2","203473_at","FCGR1C","203946_s_at","FOXQ1"
"187","225202_at","PCSK5","227486_at","SEC24D","218870_at","PLXDC1","222895_s_at","STAT1","205992_s_at","NAP1L3","202976_s_at","ITM2C"
"188","228821_at","FIBIN","203180_at","DOCK2","219777_at","GLT8D2","201278_at","GBP4","204103_at","TMSB15A","222932_at","NKAIN4"
"189","205713_s_at","PIGR","209651_at","TLR8","218854_at","FTH1","204116_at","GBP5","204057_at","TRPS1","206125_s_at","BRCC3"
"190","201185_at","EFEMP1","211651_s_at","TSHZ3","213733_at","FCGR1C","209276_s_at","STAT4","204646_at","SLC44A1","219470_x_at","ST8SIA2"
"191","204345_at","UBE2QL1","201893_x_at","BNC2","219358_s_at","LPAR1","204057_at","LAIR1","216231_s_at","IL15","228726_at","CPXM2"
"192","209708_at","LRRC15","206101_at","TM6SF1","221541_at","CHSY3","241891_at","SLC7A7","232024_at","FSCN1","213492_at","COL4A6"
"193","224724_at","ISLR","227846_at","GHR","214255_at","EGLN3","214770_at","TMEM200A","211557_x_at","PGM5","233536_at","SCARA3"
"194","201617_x_at","CDK14","213909_at","MIR155HG","221698_s_at","ADAMTS2","235458_at","SAMSN1","229937_x_at","LHFPL2","226302_at","KSR1"
"195","234994_at","ENPP1","227660_at","SYNPO2","1552316_a_at","ABCA1","219947_at","LILRB1","1554285_at","CLDN6","215034_s_at","LGALS9"
"196","223235_s_at","COL11A1","209348_s_at","SPARCL1","235318_at","TMSB15A","229625_at","PRDM1","219574_at","MRC1L1","213693_s_at","SERPINB1"
"197","232458_at","CTGF","212353_at","LCP2","218469_at","TRPS1","229383_at","TAGAP","205639_at","ITGB2","242584_at","ISG20"
"198","213069_at","MOXD1","228827_at","EGFL6","243864_at","LTBP2","210992_x_at","LILRB4","201858_s_at","MRC1","209897_s_at","TC2N"
"199","205479_s_at","CRISPLD2","226658_at","C5orf62","226136_at","BHLHE22","222838_at","IDO1","221724_s_at","IL32","201721_s_at","COL4A5"
"200","201147_s_at","FZD1","201505_at","FAM153B","236044_at","IL15","204787_at","MNDA","207104_x_at","HLA-DRB4","217767_at","NPNT"
"201","1554474_a_at","RUNX1T1","204222_s_at","TPM2","239294_at","CTHRC1","219666_at","VCAN","1555728_a_at","HOMER1","218963_s_at","NQO1"
"202","231841_s_at","SYTL2","231411_at","ADAMTSL3","215646_s_at","INPP4B","210176_at","AIM1","228071_at","PSME2","229178_at","MYC"
"203","210170_at","FBLN1","239286_at","FXYD3","37005_at","SRPX2","225242_s_at","FAM69A","64064_at","CIITA","226771_at","FGFR1"
"204","218469_at","GJC1","213004_at","FAM20C","230550_at","PGM5","204890_s_at","SNX20","204588_s_at","BAMBI","1553132_a_at","SLC6A16"
"205","213790_at","GXYLT2","213943_at","RBMS3","204787_at","CANX","201279_s_at","AIM2","213915_at","EMX2","219209_at","TCF4"
"206","226769_at","PPP1R3C","201508_at","ADAMTSL1","228532_at","LHFPL2","236293_at","NPL","213888_s_at","CTSH","209387_s_at","TNFAIP2"
"207","229802_at","PDZRN3","1554966_a_at","PNMA2","201792_at","CLDN6","212587_s_at","CST7","213537_at","NLRC3","204612_at","CCNJ"
"208","228367_at","SLAMF7","213241_at","SEPT11","205991_s_at","MRC1L1","223922_x_at","PRKCB","209813_x_at","TNFRSF17","243824_at","ZNF518A"
"209","235629_at","GREM1","204451_at","SHISA2","217428_s_at","ITGB2","1555349_a_at","SERPINF1","214560_at","RAB11FIP2","201549_x_at","ATP8B1"
"210","213247_at","EYA4","204163_at","PPAPDC1A","204912_at","MRC1","211138_s_at","MMP9","204204_at","LDLR","204914_s_at","CLEC18A"
"211","212915_at","FRMD6","226751_at","TMC5","223343_at","IL32","1555756_a_at","SRGN","211654_x_at","SLC43A3","217329_x_at","PI3"
"212","205547_s_at","SERPINE1","217430_x_at","COL5A1","209360_s_at","HLA-DRB4","238025_at","AEBP1","202625_at","ITK","229302_at","OAS1"
"213","219655_at","HMCN1","205330_at","PLAUR","213429_at","ADARB1","229530_at","SLAMF8","225763_at","DDX25","204446_s_at","BIK"
"214","228827_at","OMD","226103_at","LOXL2","227486_at","CIITA","202803_s_at","FBN1","205859_at","STS","228950_s_at","SLPI"
"215","202450_s_at","NID2","212077_at","TGFBR2","223280_x_at","BAMBI","226142_at","MSR1","211656_x_at","JUB","209197_at","OAS3"
"216","209191_at","ASPN","204051_s_at","HTRA1","225241_at","KLF9","233690_at","DPYD","205242_at","CDON","202446_s_at","OAS2"
"217","232805_at","PDGFRL","203868_s_at","CXCL13","219087_at","MXRA5","211645_x_at","CD14","219947_at","PLAC8","228667_at","CLEC18C"
"218","203417_at","MRVI1","221942_s_at","FGF18","242907_at","COL6A1","201743_at","EFEMP1","202269_x_at","ADAP2","226705_at","TUBB2A"
"219","225664_at","CLDN11","206439_at","PTPRD","208747_s_at","ADAMTS12","219574_at","KYNU","205347_s_at","MAP1B","214023_x_at","SERPINB5"
"220","228141_at","ECM2","232914_s_at","LPL","202437_s_at","EMX2","232024_at","VCAM1","210538_s_at","HCP5","232947_at","IGF2BP2"
"221","225450_at","PRSS23","222449_at","IL7R","200665_s_at","NLRC3","210321_at","ARHGAP15","232843_s_at","TRANK1","235840_at","CXCL17"
"222","203878_s_at","POSTN","212354_at","PRKD1","218627_at","COL6A2","204563_at","COL11A1","203523_at","UBE2L6","230424_at","TUBB2B"
"223","201110_s_at","FZD7","218196_at","LRRN1","1567628_at","TNFRSF17","229629_at","CRISPLD2","202626_s_at","GJB2","218974_at","CEACAM1"
"224","223204_at","FSTL1","222484_s_at","TYROBP","213566_at","SNAI2","205099_s_at","NCF2","210754_s_at","HPSE","202975_s_at","CDCP1"
"225","201124_at","MXRA8","213290_at","PLIN2","201150_s_at","LDLR","232843_s_at","ZEB2","215223_s_at","GPR34","204915_s_at","CPXM1"
"226","235371_at","ST6GAL2","1556499_s_at","MSRB3","231559_at","ITK","208982_at","RUNX1T1","213416_at","EVI2B","217867_x_at","KIT"
"227","209101_at","VGLL3","203939_at","APOE","215617_at","DDX25","206513_at","FBLN1","210889_s_at","EVI2A","219372_at","ETV5"
"228","202202_s_at","CYP1B1","207426_s_at","APOC1","212587_s_at","PDLIM2","211430_s_at","C4orf32","209671_x_at","NANOS1","225931_s_at","SNCG"
"229","220988_s_at","MMP2","205226_at","PCDH18","226789_at","STS","224927_at","CD84","221210_s_at","ACP5","217404_s_at","SRD5A3"
"230","212503_s_at","PDE10A","219257_s_at","PKD2","211571_s_at","PLAC8","211719_x_at","GIMAP8","230036_at","ETS1","217728_at","SCUBE3"
"231","201616_s_at","SEMA5A","235821_at","SPARC","201621_at","ADAP2","216442_x_at","GIMAP7","204174_at","HLA-C","219837_s_at","C10orf116"
"232","212158_at","TNFAIP6","228082_at","FRAS1","209365_s_at","PLAT","210495_x_at","GIMAP4","209901_x_at","FLI1","220196_at","CORO1A"
"233","202952_s_at","NNMT","226876_at","MFAP4","227761_at","HCP5","206662_at","CD48","229968_at","BCL2A1","221234_s_at","ALOX5"
"234","211896_s_at","TRPC1","201669_s_at","COX7A1","226219_at","C1QTNF3","203915_at","GIMAP6","203547_at","RPS20P22","242874_at","UCHL1"
"235","215617_at","CRISPLD1","209156_s_at","SH3PXD2B","223922_x_at","ZEB1","1559584_a_at","SLAMF7","202270_at","GABBR1","227997_at","SGMS2"
"236","1555778_a_at","CXCL10","226047_at","SLC47A1","1405_i_at","TRANK1","236280_at","GREM1","206219_s_at","HLA-B","239587_at","KLK7"
"237","240135_x_at","SFRP2","215617_at","ADH1B","205988_at","ADCY9","212464_s_at","GIMAP2","201859_at","LUM","201416_at","KLK8"
"238","218162_at","PCDHA6","204135_at","DUSP1","204220_at","BGN","215176_x_at","CD27","207419_s_at","UBD","229073_at","SYT11"
"239","200906_s_at","ZFHX4","204879_at","RBPMS","201852_x_at","GJB2","202766_s_at","CCL19","209835_x_at","DCN","1552701_a_at","IQCA1"
"240","201148_s_at","CXCL11","212887_at","CSGALNACT2","209933_s_at","HPSE","204007_at","GIMAP1","218322_s_at","HLA-F","242452_at","KLK10"
"241","210809_s_at","COL12A1","201105_at","ADAMDEC1","211161_s_at","KAL1","227265_at","SERPINE1","205099_s_at","FGF9","232277_at","KLK11"
"242","212473_s_at","LHFP","201147_s_at","FBXL7","211656_x_at","GPR34","211339_s_at","CD52","209823_x_at","HLA-G","222146_s_at","NETO2"
"243","213125_at","NR2F1","201280_s_at","AKT3","229723_at","EVI2B","237753_at","GNG2","211336_x_at","ARNT2","230130_at","DNMT3A"
"244","212472_at","IGF2","203666_at","RNASE4","212472_at","EVI2A","242943_at","GIMAP5","211395_x_at","RFX3","230596_at","COL9A2"
"245","220092_s_at","PCDHA10","214702_at","IGFL2","201069_at","NANOS1","218627_at","TMEM176B","1566342_at","PRTFDC1","222803_at","ALOX5AP"
"246","227554_at","PCDHA11","223204_at","RNASE6","225166_at","ACP5","228234_at","ASPN","212063_at","HLA-A","204158_s_at","CXCR7"
"247","235821_at","PLOD2","225202_at","ALDH1A3","224833_at","ADAM19","204924_at","IRF8","217388_s_at","ASS1","210827_s_at","PARP10"
"248","219700_at","DKK3","242100_at","CDH11","232617_at","ETS1","206150_at","IL21R","201422_at","SPRY1","1554697_at","PAX2"
"249","205422_s_at","PCDHA12","204774_at","ISL1","202952_s_at","HLA-C","1570165_at","MLKL","203332_s_at","TNFRSF19","1555870_at","RNFT2"
"250","213428_s_at","PCDHA13","212636_at","ITGA1","209199_s_at","FLI1","228658_at","ARHGAP30","203052_at","THNSL1","235048_at","CNKSR3"
"251","201939_at","PLAU","201141_at","C5AR1","225664_at","BCL2A1","226436_at","POSTN","204834_at","MICB","1555852_at","CAPN6"
"252","213422_s_at","ELN","205422_s_at","BHLHE40","203923_s_at","RPS20P22","201744_s_at","LY96","217456_x_at","EFS","201066_at","SNRPN"
"253","206439_at","PCDHAC1","203498_at","ANTXR2","210140_at","COMP","205419_at","CTSC","200905_x_at","HLA-E","205476_at","ST6GALNAC3"
"254","231842_at","ROR1","222899_at","FYB","215076_s_at","EPYC","221671_x_at","QKI","209732_at","APBB1IP","204749_at","MLPH"
"255","205151_s_at","OLFML2B","233607_at","ARX","218656_s_at","GABBR1","217764_s_at","VGLL3","219358_s_at","IL17RA","226576_at","FKBP5"
"256","215199_at","ADRA2A","217892_s_at","TNC","219561_at","HLA-B","201852_x_at","CYP1B1","208130_s_at","SLC1A3","241397_at","CBR3"
"257","37512_at","PCDHAC2","204236_at","CSF2RB","204222_s_at","LUM","211395_x_at","MMP2","235306_at","CD72","232113_at","KIAA1211"
"258","218468_s_at","DEPDC7","1552309_a_at","GALNT10","202351_at","UBD","238581_at","TLR2","203708_at","CECR1","218451_at","ST3GAL1"
"259","229088_at","HIPK1","218002_s_at","SORBS1","214765_s_at","DCN","221651_x_at","TNFAIP6","219607_s_at","ZNF738","232034_at","FAM101B"
"260","225442_at","RGS4","207191_s_at","DDIT4L","212473_s_at","HLA-F","204620_s_at","CXCL9","226748_at","TLR7","218424_s_at","ANGPTL1"
"261","1555724_s_at","MICAL2","201506_at","EMCN","202436_s_at","HLA-G","221942_s_at","HCLS1","201762_s_at","DOCK2","202803_s_at","C1orf85"
"262","209365_s_at","OLFML3","229218_at","BASP1","229968_at","ARNT2","204619_s_at","FCER1G","211794_at","TLR8","211695_x_at","TJP3"
"263","213652_at","ODZ3","213069_at","SH2B3","200974_at","NRP1","225502_at","CD53","210152_at","IL16","229273_at","IFI44L"
"264","201893_x_at","TAGLN","214587_at","GMFG","227346_at","RFX3","224795_x_at","ARHGEF6","211902_x_at","TM6SF1","201137_s_at","IFI44"
"265","225496_s_at","TGFB1I1","1557938_s_at","ADAM12","205159_at","PRTFDC1","217763_s_at","CXCL10","1554240_a_at","MIR155HG","238418_at","SALL2"
"266","209156_s_at","RUNX2","236858_s_at","DAB2","201279_s_at","HLA-A","202746_at","IL2RG","1557684_at","LCP2","226145_s_at","LPHN2"
"267","210764_s_at","TSPAN2","228293_at","CPM","219257_s_at","FGF7P2","221731_x_at","RGS1","202307_s_at","FZD3","232431_at","GPC3"
"268","227399_at","TIMP3","213933_at","EMP3","209835_x_at","THNSL1","214669_x_at","SFRP2","231747_at","LYN","209083_at","HTATIP2"
"269","214702_at","C20orf103","210133_at","LYZ","204446_s_at","MICB","209348_s_at","CD86","222876_s_at","ZKSCAN3","213537_at","CSRP2"
"270","218656_s_at","PTGER3","201262_s_at","PTGER4","210992_x_at","EBF1","235385_at","C1orf162","206060_s_at","GPX3","203845_at","C1QC"
"271","212364_at","TIMP2","205547_s_at","CMTM3","201029_s_at","HLA-E","202901_x_at","CXCL11","226218_at","SCAND3","1564467_at","SLC4A11"
"272","206101_at","MMP11","233611_at","HTR2B","202771_at","APBB1IP","230261_at","LHFP","225973_at","ANPEP","1555349_a_at","RTP4"
"273","228481_at","SMOC2","209473_at","PCSK6","221666_s_at","KIAA1199","229391_s_at","FCGR2A","209606_at","FXYD3","224932_at","TUBA1A"
"274","203903_s_at","THBS2","213891_s_at","PAPPA","210757_x_at","SYNPO","213139_at","ITGAM","214677_x_at","PNMA2","208782_at","C15orf48"
"275","204284_at","PRKG1","225790_at","PTRF","204923_at","NTM","227061_at","HSPA6","221875_x_at","PPAPDC1A","228551_at","ITGB4"
"276","209758_s_at","AMOTL1","225922_at","CDH6","213909_at","TLR7","203085_s_at","FCGR3A","206666_at","GZMH","226960_at","IRF7"
"277","233365_at","SPON2","201289_at","CHST15","214293_at","SEC24D","210889_s_at","FCGR2C","209138_x_at","CD97","202307_s_at","SIX1"
"278","233555_s_at","LRRC17","224833_at","ENTPD1","225524_at","DOCK2","201288_at","FCGR2B","204490_s_at","TMC5","202902_s_at","TFPI"
"279","206481_s_at","SLC35D3","224724_at","PLK2","201278_at","TLR8","215076_s_at","CELF2","213095_x_at","GZMB","215163_at","TCEA3"
"280","211668_s_at","COL8A1","209047_at","PTPRE","233690_at","IL16","214181_x_at","CSF1R","225353_s_at","PLAUR","214247_s_at","CYBB"
"281","205880_at","FABP4","205499_at","NPNT","204490_s_at","TSHZ3","214836_x_at","TRAF3IP3","228937_at","DMKN","202481_at","CYC1"
"282","226047_at","MFAP5","211980_at","CD37","213603_s_at","BNC2","226311_at","FCGR3B","209795_at","SIRPA","205031_at","COL3A1"
"283","223730_at","FILIP1L","214696_at","FBLN5","225373_at","TM6SF1","224964_s_at","GEM","211529_x_at","FAM169A","227019_at","SQRDL"
"284","208851_s_at","RHOBTB3","209447_at","GZMK","202765_s_at","GHR","225524_at","BCL11B","210164_at","CX3CR1","229349_at","COL5A2"
"285","218087_s_at","ANTXR1","213002_at","AXL","201061_s_at","MIR155HG","1555812_a_at","PLAU","215121_x_at","STXBP6","230508_at","SYT1"
"286","215198_s_at","THBS1","222101_s_at","PTPRB","203878_s_at","SPARCL1","226099_at","OLFML2B","227645_at","USP18","239381_at","IFI27"
"287","210762_s_at","LAMA4","233555_s_at","GZMA","228481_at","LCP2","1555745_a_at","GCH1","204416_x_at","CCDC69","224002_s_at","ADAMTS9"
"288","213496_at","ITGB5","201389_at","TCF4","204655_at","C5orf62","242946_at","HIPK1","211661_x_at","SPP1","224521_s_at","TMEM173"
"289","232090_at","HEG1","221773_at","TGFB1","204070_at","FZD3","217378_x_at","RGS4","224414_s_at","NOVA1","229091_s_at","SLC40A1"
"290","225688_s_at","ID1","203688_at","RCN3","225763_at","LYN","213258_at","PDE4B","1555112_a_at","CEBPD","218324_s_at","MAGED4B"
"291","213943_at","TMEM45A","220092_s_at","PMEPA1","225328_at","GPX3","204472_at","OLFML3","205821_at","CXCL13","225897_at","CCDC77"
"292","202976_s_at","SLC12A8","222450_at","GPX8","205098_at","TPM2","216491_x_at","PRF1","215379_x_at","EMR2","235252_at","DDX60"
"293","202238_s_at","FAM198B","204472_at","TLR4","203471_s_at","ANPEP","217762_s_at","C1S","221666_s_at","IL7R","237491_at","IL8"
"294","241864_x_at","COL1A1","204052_s_at","CEACAM6","210139_s_at","CHML","225241_at","MCTP1","214617_at","BCL3","207847_s_at","ZNF423"
"295","222020_s_at","PLEKHH2","225496_s_at","TSPAN8","203761_at","FAM20C","243366_s_at","RCAN2","212014_x_at","IQGAP1","222593_s_at","PAM"
"296","224396_s_at","ISM1","202437_s_at","ALPK2","208983_s_at","FXYD5","221729_at","GUCY1A3","202901_x_at","PCSK1N","225102_at","C2orf88"
"297","205066_s_at","NALCN","229271_x_at","NBL1","212256_at","RBMS3","206118_at","CD2","227077_at","LRRN1","239537_at","SPATS2"
"298","205501_at","PRRX1","209687_at","GRP","204451_at","SEPT11","211644_x_at","GPR183","211144_x_at","TYROBP","217502_at","MAGED4"
"299","221900_at","ITGBL1","213496_at","PDLIM5","218232_at","SHISA2","216401_x_at","IGJ","204806_x_at","CAPSL","206893_at","TET1"
"300","1553275_s_at","PRICKLE1","228234_at","SULF2","213125_at","PPAPDC1A","202765_s_at","CD163","216841_s_at","APOE","213891_s_at","RFTN1"
"301","209869_at","COL10A1","1555724_s_at","TUBB2A","225798_at","GZMH","227140_at","FAM46C","214995_s_at","APOC1","205286_at","GBP3"
"302","224822_at","NT5E","226218_at","PDGFRA","227038_at","COL5A1","215646_s_at","PLA2G7","225373_at","HMGA2","214162_at","GBP1"
"303","211813_x_at","DIP2C","212344_at","BMP1","229383_at","GZMB","213566_at","CD8A","219725_at","JAK2","227123_at","GBP2"
"304","219874_at","SDC2","225664_at","CXCL12","230741_at","PLAUR","1552701_a_at","IKZF1","229560_at","APOC2","202411_at","STAT1"
"305","233090_at","HSD17B6","224733_at","PPAP2A","202625_at","LOXL2","218854_at","TDO2","211430_s_at","FCN1","219553_at","KIRREL"
"306","212012_at","FN1","202391_at","AOC3","201108_s_at","TGFBR2","221730_at","RCSD1","228234_at","PSME1","223220_s_at","SLIT2"
"307","235944_at","BICC1","219655_at","CILP","225502_at","SIRPA","227856_at","THBS2","209040_s_at","FBXO32","211654_x_at","CCDC88A"
"308","214927_at","PMP22","219779_at","RASSF4","202310_s_at","HTRA1","218656_s_at","EPSTI1","225502_at","FRAS1","228648_at","LIN28B"
"309","205907_s_at","NAV1","206481_s_at","TMEM158","209348_s_at","FAM169A","203923_s_at","PTPRC","208729_x_at","MYD88","207030_s_at","SERPINA1"
"310","209325_s_at","ECM1","218559_s_at","DKK2","204858_s_at","CX3CR1","206337_at","FCGR1B","219183_s_at","SLC7A11","207705_s_at","MYO1B"
"311","202237_at","KDELC1","61734_at","GPR124","217967_s_at","SPP1","211637_x_at","C3AR1","217078_s_at","MTM1","222446_s_at","NDRG1"
"312","204141_at","ERRFI1","206584_at","ALDH1A2","232843_s_at","NOVA1","211571_s_at","RASGRP1","222859_s_at","LRP4","240304_s_at","BTBD19"
"313","212813_at","CTSK","200785_s_at","DOCK8","213905_x_at","CEBPD","229390_at","CLEC4A","1553906_s_at","EMB","228433_at","PCOLCE"
"314","201645_at","MMP13","207691_x_at","IGDCC4","212646_at","CXCL13","211161_s_at","COL8A1","204951_at","ADAMDEC1","204724_s_at","NELL1"
"315","213869_x_at","CDK6","225275_at","RCAN1","201261_x_at","PTPRD","229554_at","PLEK","229635_at","RASGEF1A","205552_s_at","RASSF5"
"316","203939_at","MLLT11","226099_at","MAF","209949_at","LPL","238439_at","NLRC5","205123_s_at","OSMR","203753_at","SAMSN1"
"317","207191_s_at","PLN","213428_s_at","SH3PXD2A","212412_at","IL7R","206134_at","FAM20A","231577_s_at","CD274","209140_x_at","IFIT2"
"318","226612_at","PDLIM3","206796_at","GPR176","221760_at","BCL3","214677_x_at","FILIP1L","221671_x_at","COL9A3","204533_at","CCDC109B"
"319","203180_at","SORBS2","232231_at","EPDR1","220146_at","IQGAP1","209083_at","IL10RA","221651_x_at","ZNF607","225203_at","IFIT3"
"320","204298_s_at","ANGPTL2","226522_at","CA2","203760_s_at","TYROBP","205681_at","THBS1","206978_at","BMP2K","208729_x_at","STK17B"
"321","205206_at","COL1A2","205880_at","IGLL3P","214181_x_at","CAPSL","215379_x_at","LAMA4","212592_at","MPP1","216860_s_at","IFIT1"
"322","201508_at","OSR2","224964_s_at","DACT1","205831_at","MSRB3","225647_s_at","CYTIP","224795_x_at","HERC6","202833_s_at","DZIP1"
"323","212713_at","PDGFD","222146_s_at","GLIPR1","208370_s_at","APOE","209138_x_at","KLRB1","211799_x_at","HIF3A","225303_at","PHC1B"
"324","217525_at","CALD1","227705_at","SLCO2B1","229635_at","APOC1","215121_x_at","GLRX","217436_x_at","RNASE6","212998_x_at","MNDA"
"325","223690_at","GJA1","205713_s_at","SYT11","224928_at","HMGA2","228167_at","COL1A1","205306_x_at","CCDC8","228988_at","IFI16"
"326","204749_at","LOX","205700_at","RUNX1","223499_at","APOC2","223344_s_at","CD69","213293_s_at","PNMAL1","200632_s_at","VCAN"
"327","232453_at","LAMB1","228438_at","EDNRB","217478_s_at","FBXO32","239294_at","CLEC2B","235385_at","MPDZ","228776_at","SOD2"
"328","231993_at","PHLDB2","228461_at","SFRP4","213790_at","SPARC","224833_at","SELL","210163_at","ALDH1A3","1563217_at","GAS2"
"329","219779_at","CD36","204345_at","GAS1","213624_at","FRAS1","219159_s_at","ELL2","206721_at","SLC46A3","209590_at","MAP4K4"
"330","227561_at","SEMA3C","228658_at","PHLDA1","229530_at","MYD88","219279_at","MARCKS","211528_x_at","DAPP1","225869_s_at","MSLN"
"331","202274_at","NID1","241700_at","MIAT","210176_at","ADH1B","241435_at","TMED7-TICAM2","214669_x_at","PURG","204811_s_at","CHODL"
"332","205150_s_at","CCDC80","202191_s_at","CXCR7","227235_at","DUSP1","218559_s_at","CLEC7A","207085_x_at","NCF4","225745_at","LPHN3"
"333","219304_s_at","DCHS1","200906_s_at","C13orf33","204057_at","LRP4","222670_s_at","TICAM2","226549_at","C5AR1","234970_at","CBX1"
"334","231879_at","THY1","203729_at","MARCH1","222409_at","EMB","239296_at","PRRX1","219670_at","PTPLAD2","229450_at","STEAP2"
"335","203876_s_at","IQCJ-SCHIP1","202878_s_at","TMEM2","208944_at","ANKH","201280_s_at","OLR1","204236_at","HLA-DRB3","201669_s_at","AEBP1"
"336","212154_at","OLFML1","204337_at","LGALS1","232543_x_at","RBPMS","223122_s_at","COL10A1","204006_s_at","FYB","213992_at","EFNB3"
