"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"98","215446_s_at","PRKD1","225241_at","COL14A1","221087_s_at","MS4A4A","204192_at","LCP2","226841_at","MS4A4A","203281_s_at","TRPS1"
"99","225464_at","LRRN1","202664_at","SMAD7","225242_s_at","MS4A7","224341_x_at","EOMES","202659_at","MS4A7","1567628_at","IL15"
"100","212077_at","MSRB3","224694_at","DRAM1","210644_s_at","CCL3","206710_s_at","GZMH","209949_at","CCL18","201548_s_at","CTHRC1"
"101","227376_at","SPARC","212764_at","ITM2A","212488_at","MS4A14","213915_at","COL5A1","204533_at","CCL3","217498_at","FSCN1"
"102","213316_at","MFAP4","213725_x_at","TGFB3","217767_at","CCL4","205098_at","GZMB","215633_x_at","MS4A14","1567101_at","CLDN6"
"103","204114_at","ADH1B","225897_at","AKAP2","1554899_s_at","SDC1","228964_at","CXCL13","205147_x_at","CCL4","218824_at","ITGB2"
"104","242100_at","IGFL2","205407_at","GFPT2","203180_at","CCL3L3","205798_at","IL7R","1557116_at","CCL3L3","206011_at","IL32"
"105","203570_at","ALDH1A3","202403_s_at","CXCL14","221581_s_at","CCL3L1","209879_at","TYROBP","215049_x_at","CCL3L1","218338_at","HLA-DRB4"
"106","202995_s_at","CDH11","208782_at","CCR1","223501_at","MS4A1","205758_at","APOE","210982_s_at","MS4A1","201866_s_at","PSME2"
"107","225481_at","TNC","229530_at","CCR2","228396_at","C17orf91","219385_at","APOC1","1555812_a_at","PLA2G16","1569940_at","CIITA"
"108","229554_at","GALNT10","218162_at","SEPT8","227399_at","FGF7","226218_at","SPARC","211122_s_at","C11orf95","202430_s_at","ARL5B"
